empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C8H9Cl2O3P/c1-11-14(12-2)13-8-4-3-6(9)5-7(8)10/h3-5H,1-2H3",253.966636,15108300
,"InChI=1S/C9H9Cl3O2/c1-13-2-3-14-9-7(11)4-6(10)5-8(9)12/h4-5H,2-3H2,1H3",253.966813,13938701
,"InChI=1S/C9H9Cl3O2/c10-3-4-13-6-14-9-2-1-7(11)5-8(9)12/h1-2,5H,3-4,6H2",253.966813,350514
,"InChI=1S/C9H9Cl3O2/c1-13-7-3-6(9(10,11)12)4-8(5-7)14-2/h3-5H,1-2H3",253.966813,21516893
,"InChI=1S/C6H4F6S2/c1-3(5(7,8)9)13-14-4(2)6(10,11)12/h1-2H2",253.965861,13699605
,"InChI=1S/C7H6BrF3N2/c8-3-1-2-4(12)6(13)5(3)7(9,10)11/h1-2H,12-13H2",253.966645,91634080
,"InChI=1S/C7H6BrF3N2/c8-4-2-1-3(7(9,10)11)5(12)6(4)13/h1-2H,12-13H2",253.966645,90848532
,"InChI=1S/C9H9Cl3O2/c1-2-13-7-5-3-4-6-8(7)14-9(10,11)12/h3-6H,2H2,1H3",253.966813,90754308
,"InChI=1S/C7H6BrF3N2/c1-3-5(8)2-4(6(12)13-3)7(9,10)11/h2H,1H3,(H2,12,13)",253.966645,90017290
,"InChI=1S/C7H6BrF3N2/c8-6-2-1-5(3-12-6)13-4-7(9,10)11/h1-3,13H,4H2",253.966645,87347899
,"InChI=1S/C11H10SSe/c1-2-4-9-6-7-12-11(9)10-5-3-8-13-10/h2-3,5-8H,1,4H2",253.966843,87257326
,"InChI=1S/C11H10SSe/c1-2-4-9-6-8-13-11(9)10-5-3-7-12-10/h2-3,5-8H,1,4H2",253.966843,87256181
,"InChI=1S/C7H6BrF3N2/c8-3-6(4-12,5-13)1-2-7(9,10)11/h1-3H2",253.966645,86612542
,"InChI=1S/C4H7IN4O/c1-10-3-2-9-4(5)6-7-8-9/h2-3H2,1H3",253.966459,86092828
,"InChI=1S/C11H10SSe/c1-2-4-10-8(3-1)9-5-6-12-7-11(9)13-10/h1-4H,5-7H2",253.966843,85877807
,"InChI=1S/C7H6BrF3N2/c8-5-3-12-6(13-4-5)1-2-7(9,10)11/h3-4H,1-2H2",253.966645,84708345
,"InChI=1S/C7H6BrF3N2/c1-3-6(12)4(7(9,10)11)2-5(8)13-3/h2H,12H2,1H3",253.966645,83488500
,"InChI=1S/C7H6BrF3N2/c1-3-5(7(9,10)11)12-4(2)13-6(3)8/h1-2H3",253.966645,83399208
